表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,
公開日：,2022年6月21日,,,,,,,
,,,,,,,,
***,調査又は集計していないもの,,,,,,,
-,データが得られないもの,,,,,,,
X,数値が秘匿されているもの,,,,,,,
,,,,,,,,
,,,,/項目 コード,C120110,,C120120,
調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,注釈,C120120_納税義務者数（所得割）【人】,注釈
2015100000,2015年度,1602,北海道 平取町,,6227638,,2178,
2015100000,2015年度,1604,北海道 新冠町,,5667017,,2162,
2015100000,2015年度,1607,北海道 浦河町,,15214448,,5373,
2015100000,2015年度,1608,北海道 様似町,,4589954,,1782,
2015100000,2015年度,1609,北海道 えりも町,,5658123,,1977,
2015100000,2015年度,1610,北海道 新ひだか町,,24413333,,9302,
2015100000,2015年度,1631,北海道 音更町,,53081258,,19424,
2015100000,2015年度,1632,北海道 士幌町,,9229802,,2881,
2015100000,2015年度,1633,北海道 上士幌町,,6522503,,2110,
2015100000,2015年度,1634,北海道 鹿追町,,8124507,,2568,
2015100000,2015年度,1635,北海道 新得町,,6632875,,2517,
2015100000,2015年度,1636,北海道 清水町,,11510623,,4168,
2015100000,2015年度,1637,北海道 芽室町,,24306183,,8421,
2015100000,2015年度,1638,北海道 中札内村,,5415243,,1848,
2015100000,2015年度,1639,北海道 更別村,,5321457,,1645,
2015100000,2015年度,1641,北海道 大樹町,,7363129,,2525,
2015100000,2015年度,1642,北海道 広尾町,,8450770,,2899,
2015100000,2015年度,1643,北海道 幕別町,,31547506,,11741,
2015100000,2015年度,1644,北海道 池田町,,7671361,,2899,
2015100000,2015年度,1645,北海道 豊頃町,,4254693,,1404,
2015100000,2015年度,1646,北海道 本別町,,8628692,,3171,
2015100000,2015年度,1647,北海道 足寄町,,8427388,,2945,
2015100000,2015年度,1648,北海道 陸別町,,2892029,,981,
2015100000,2015年度,1649,北海道 浦幌町,,5910676,,2112,
2015100000,2015年度,1661,北海道 釧路町,,22094025,,8576,
2015100000,2015年度,1662,北海道 厚岸町,,11637258,,4048,
2015100000,2015年度,1663,北海道 浜中町,,7473275,,2560,
2015100000,2015年度,1664,北海道 標茶町,,9557543,,3359,
2015100000,2015年度,1665,北海道 弟子屈町,,7814390,,2983,
2015100000,2015年度,1667,北海道 鶴居村,,2875139,,1027,
2015100000,2015年度,1668,北海道 白糠町,,7602571,,3166,
2015100000,2015年度,1691,北海道 別海町,,24717559,,7582,
2015100000,2015年度,1692,北海道 中標津町,,30748814,,10823,
2015100000,2015年度,1693,北海道 標津町,,7415607,,2385,
2015100000,2015年度,1694,北海道 羅臼町,,7275544,,2372,
2015100000,2015年度,2201,青森県 青森市,,322365637,,118859,
2015100000,2015年度,2202,青森県 弘前市,,184204531,,67283,
2015100000,2015年度,2203,青森県 八戸市,,268521534,,97908,
